# pump_rate_ft3_per_day annual_volume_m3_per_year annual_volume_million_m3_per_year cost_p10_usd_per_year cost_p20_usd_per_year cost_p30_usd_per_year cost_p40_usd_per_year cost_p50_usd_per_year cost_p60_usd_per_year cost_p70_usd_per_year cost_p80_usd_per_year cost_p90_usd_per_year cost_p10_kusd_per_year cost_p20_kusd_per_year cost_p30_kusd_per_year cost_p40_kusd_per_year cost_p50_kusd_per_year cost_p60_kusd_per_year cost_p70_kusd_per_year cost_p80_kusd_per_year cost_p90_kusd_per_year energy_p10_kwh_per_year energy_p20_kwh_per_year energy_p30_kwh_per_year energy_p40_kwh_per_year energy_p50_kwh_per_year energy_p60_kwh_per_year energy_p70_kwh_per_year energy_p80_kwh_per_year energy_p90_kwh_per_year
2.185238502673796756e+04 2.258585815820817661e+05 2.258585815820817744e-01 2.240706445495588468e+03 2.274242630571802238e+03 2.293305978512763886e+03 2.314481706504494468e+03 2.335289086184839107e+03 2.355703316596211153e+03 2.377726981119721131e+03 2.405014635109429946e+03 2.436913401147030072e+03 2.240706445495588284e+00 2.274242630571802426e+00 2.293305978512763854e+00 2.314481706504494252e+00 2.335289086184839213e+00 2.355703316596211128e+00 2.377726981119721028e+00 2.405014635109429921e+00 2.436913401147029923e+00 2.240706445495588559e+04 2.274242630571802147e+04 2.293305978512763977e+04 2.314481706504494650e+04 2.335289086184839107e+04 2.355703316596211153e+04 2.377726981119720949e+04 2.405014635109429582e+04 2.436913401147030163e+04
2.408222023354796329e+04 2.489053756210696592e+05 2.489053756210696522e-01 2.680766980611325835e+03 2.713643723363711160e+03 2.740463948434619851e+03 2.761951111787256195e+03 2.781036105989975113e+03 2.803444400378441060e+03 2.827287658700598058e+03 2.859167492904989103e+03 2.900561817825268008e+03 2.680766980611325678e+00 2.713643723363710958e+00 2.740463948434619823e+00 2.761951111787256163e+00 2.781036105989975304e+00 2.803444400378440893e+00 2.827287658700598172e+00 2.859167492904989061e+00 2.900561817825268118e+00 2.680766980611325562e+04 2.713643723363710887e+04 2.740463948434619306e+04 2.761951111787256013e+04 2.781036105989974749e+04 2.803444400378440696e+04 2.827287658700597967e+04 2.859167492904988831e+04 2.900561817825267644e+04
2.631205544035796265e+04 2.719521696600576397e+05 2.719521696600576410e-01 3.140867080472239650e+03 3.180364883410572475e+03 3.214150121671573288e+03 3.244344916551151982e+03 3.265361664816910888e+03 3.299789035296775182e+03 3.329527158444691850e+03 3.359507137634319861e+03 3.408002064903147584e+03 3.140867080472239614e+00 3.180364883410572663e+00 3.214150121671573324e+00 3.244344916551152203e+00 3.265361664816910814e+00 3.299789035296775364e+00 3.329527158444691715e+00 3.359507137634319740e+00 3.408002064903147499e+00 3.140867080472239832e+04 3.180364883410572293e+04 3.214150121671572924e+04 3.244344916551151982e+04 3.265361664816910343e+04 3.299789035296774819e+04 3.329527158444692031e+04 3.359507137634319952e+04 3.408002064903147402e+04
2.854189064716796202e+04 2.949989636990456493e+05 2.949989636990456576e-01 3.658876771847152213e+03 3.705670593900569202e+03 3.738837459047821540e+03 3.763146907486723194e+03 3.789510345562807743e+03 3.819882580701629195e+03 3.860995375993360540e+03 3.904765358728466254e+03 3.964832995889590165e+03 3.658876771847152209e+00 3.705670593900569187e+00 3.738837459047821721e+00 3.763146907486722981e+00 3.789510345562807636e+00 3.819882580701629227e+00 3.860995375993360401e+00 3.904765358728466307e+00 3.964832995889590261e+00 3.658876771847152122e+04 3.705670593900568929e+04 3.738837459047821903e+04 3.763146907486722921e+04 3.789510345562807925e+04 3.819882580701629195e+04 3.860995375993360358e+04 3.904765358728465799e+04 3.964832995889589802e+04
3.077172585397795410e+04 3.180457577380334842e+05 3.180457577380335077e-01 4.185461241726336084e+03 4.243598940065520765e+03 4.291322238837554323e+03 4.331963108435953473e+03 4.355326103199245154e+03 4.397989526416454282e+03 4.443550836150473515e+03 4.493203354093812777e+03 4.564243532560878521e+03 4.185461241726335935e+00 4.243598940065520964e+00 4.291322238837554259e+00 4.331963108435953558e+00 4.355326103199245402e+00 4.397989526416454353e+00 4.443550836150473415e+00 4.493203354093813218e+00 4.564243532560878336e+00 4.185461241726336448e+04 4.243598940065520583e+04 4.291322238837553596e+04 4.331963108435953473e+04 4.355326103199244972e+04 4.397989526416454464e+04 4.443550836150472605e+04 4.493203354093812959e+04 4.564243532560877793e+04
3.300156106078794983e+04 3.410925517770213773e+05 3.410925517770213578e-01 4.822248111162029090e+03 4.880313115317162556e+03 4.917244310516434780e+03 4.960438543331900291e+03 4.993062216556782005e+03 5.036007078509674102e+03 5.083738422803231515e+03 5.138752651866909218e+03 5.217683969271151909e+03 4.822248111162029005e+00 4.880313115317162165e+00 4.917244310516434957e+00 4.960438543331900263e+00 4.993062216556782396e+00 5.036007078509673995e+00 5.083738422803231849e+00 5.138752651866909105e+00 5.217683969271152300e+00 4.822248111162029090e+04 4.880313115317162737e+04 4.917244310516434052e+04 4.960438543331899564e+04 4.993062216556781641e+04 5.036007078509673738e+04 5.083738422803231515e+04 5.138752651866908855e+04 5.217683969271151727e+04
3.523139626759794919e+04 3.641393458160093869e+05 3.641393458160093743e-01 5.419865891735280456e+03 5.507186316991898821e+03 5.561749124236815078e+03 5.605368755430300553e+03 5.658781435460368812e+03 5.699056989864462594e+03 5.743875285891932435e+03 5.803891452971542094e+03 5.897612169638838168e+03 5.419865891735280883e+00 5.507186316991898423e+00 5.561749124236815334e+00 5.605368755430300887e+00 5.658781435460368492e+00 5.699056989864462963e+00 5.743875285891932414e+00 5.803891452971542186e+00 5.897612169638838608e+00 5.419865891735279729e+04 5.507186316991899366e+04 5.561749124236815260e+04 5.605368755430299643e+04 5.658781435460368812e+04 5.699056989864462230e+04 5.743875285891931708e+04 5.803891452971542458e+04 5.897612169638837804e+04
3.746123147440794855e+04 3.871861398549972801e+05 3.871861398549972799e-01 6.114100101830372296e+03 6.200724968534183063e+03 6.273163090248866865e+03 6.318403035719028594e+03 6.388244126951564795e+03 6.436302480473872492e+03 6.490814946484217216e+03 6.555823519281351764e+03 6.662949550685342729e+03 6.114100101830372225e+00 6.200724968534182757e+00 6.273163090248866425e+00 6.318403035719028615e+00 6.388244126951565072e+00 6.436302480473872656e+00 6.490814946484217529e+00 6.555823519281351430e+00 6.662949550685342892e+00 6.114100101830372296e+04 6.200724968534181971e+04 6.273163090248866501e+04 6.318403035719028412e+04 6.388244126951564976e+04 6.436302480473872129e+04 6.490814946484216489e+04 6.555823519281351764e+04 6.662949550685343274e+04
3.969106668121794064e+04 4.102329338939852314e+05 4.102329338939852410e-01 6.852684835108776497e+03 6.954200062531986077e+03 7.029189052526946398e+03 7.087745910515802279e+03 7.144596539691262478e+03 7.213896308677984962e+03 7.268735525251239778e+03 7.341399307475406204e+03 7.441004613102323674e+03 6.852684835108776795e+00 6.954200062531985971e+00 7.029189052526946035e+00 7.087745910515802272e+00 7.144596539691262294e+00 7.213896308677984592e+00 7.268735525251239338e+00 7.341399307475406033e+00 7.441004613102323972e+00 6.852684835108775587e+04 6.954200062531985168e+04 7.029189052526945306e+04 7.087745910515802098e+04 7.144596539691262296e+04 7.213896308677984052e+04 7.268735525251238141e+04 7.341399307475406385e+04 7.441004613102323492e+04
4.192090188802793273e+04 4.332797279329731246e+05 4.332797279329731466e-01 7.692315307388156725e+03 7.780413392829043914e+03 7.859918875505793039e+03 7.932563996280261563e+03 7.989553422748203957e+03 8.046907233194679065e+03 8.101539980525968531e+03 8.196485107238551791e+03 8.304272782140657000e+03 7.692315307388156498e+00 7.780413392829044206e+00 7.859918875505792712e+00 7.932563996280261875e+00 7.989553422748204348e+00 8.046907233194678710e+00 8.101539980525968687e+00 8.196485107238551393e+00 8.304272782140657228e+00 7.692315307388156361e+04 7.780413392829043732e+04 7.859918875505794131e+04 7.932563996280261199e+04 7.989553422748204321e+04 8.046907233194677974e+04 8.101539980525967258e+04 8.196485107238551427e+04 8.304272782140655909e+04
